# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 7731 4 5 52 8997618 5 /openedx/staticfiles/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7731 8 5 52 8986974 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7731 5 5 52 9257992 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7731 4 5 52 8986040 5 /openedx/staticfiles/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7731 9 5 52 9257065 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7731 8 5 52 8995629 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7731 5 5 52 9234263 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7731 9 5 52 9252957 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_FIRST_OCCURRENCE 3933 2 16 52 8754688 5 /openedx/staticfiles/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_WITHIN_SAME_TREE -3933 2 16 52 8752282 5 /openedx/staticfiles/vendor/jsme/version.txt
DUPTYPE_WITHIN_SAME_TREE -3933 3 16 52 8752411 5 /openedx/staticfiles/studio/vendor/jsme/version.txt
DUPTYPE_WITHIN_SAME_TREE -3933 3 16 52 8754923 5 /openedx/staticfiles/studio/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_FIRST_OCCURRENCE 14573 6 19 52 8996415 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.5ced8015592b.xml
DUPTYPE_WITHIN_SAME_TREE -14573 7 19 52 9252856 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/calendar.xml
DUPTYPE_WITHIN_SAME_TREE -14573 6 19 52 8986873 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.xml
DUPTYPE_WITHIN_SAME_TREE -14573 7 19 52 9257390 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/calendar.5ced8015592b.xml
DUPTYPE_FIRST_OCCURRENCE 14575 6 19 52 8996413 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/document.c59df8b8a86e.xml
DUPTYPE_WITHIN_SAME_TREE -14575 7 19 52 9252854 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/document.xml
DUPTYPE_WITHIN_SAME_TREE -14575 7 19 52 9257388 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/document.c59df8b8a86e.xml
DUPTYPE_WITHIN_SAME_TREE -14575 6 19 52 8986871 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/document.xml
DUPTYPE_FIRST_OCCURRENCE 11575 5 20 52 8996462 5 /openedx/staticfiles/templates/instructor/edx_ace/accountcreationandenrollment/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975868 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationexpiry/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996482 5 /openedx/staticfiles/templates/instructor/edx_ace/enrollenrolled/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996467 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedenroll/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975777 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedunenroll/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996477 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedunenroll/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975784 5 /openedx/staticfiles/templates/instructor/edx_ace/enrollenrolled/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996457 5 /openedx/staticfiles/templates/instructor/edx_ace/enrolledunenroll/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996472 5 /openedx/staticfiles/templates/instructor/edx_ace/addbetatester/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975793 5 /openedx/staticfiles/templates/instructor/edx_ace/removebetatester/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975763 5 /openedx/staticfiles/templates/instructor/edx_ace/allowedenroll/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975770 5 /openedx/staticfiles/templates/instructor/edx_ace/addbetatester/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975756 5 /openedx/staticfiles/templates/instructor/edx_ace/accountcreationandenrollment/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975749 5 /openedx/staticfiles/templates/instructor/edx_ace/enrolledunenroll/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996492 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationapproved/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975854 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationapproved/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996502 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationexpiry/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996497 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationsubmitted/email/from_name.9f0a1f1ed256.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8975861 5 /openedx/staticfiles/templates/verify_student/edx_ace/verificationsubmitted/email/from_name.txt
DUPTYPE_WITHIN_SAME_TREE -11575 5 20 52 8996487 5 /openedx/staticfiles/templates/instructor/edx_ace/removebetatester/email/from_name.9f0a1f1ed256.txt
DUPTYPE_FIRST_OCCURRENCE 9409 4 24 52 8997668 5 /openedx/staticfiles/xblock/resources/acid/public/test_data.1eea4ffdd504.json
DUPTYPE_WITHIN_SAME_TREE -9409 5 24 52 9234607 5 /openedx/staticfiles/studio/xblock/resources/acid/public/test_data.json
DUPTYPE_WITHIN_SAME_TREE -9409 5 24 52 9258036 5 /openedx/staticfiles/studio/xblock/resources/acid/public/test_data.1eea4ffdd504.json
DUPTYPE_WITHIN_SAME_TREE -9409 4 24 52 8987158 5 /openedx/staticfiles/xblock/resources/acid/public/test_data.json
DUPTYPE_FIRST_OCCURRENCE 5377 3 32 52 8998260 5 /openedx/staticfiles/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5377 6 32 52 8996000 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5377 3 32 52 8983450 5 /openedx/staticfiles/paragon/src/Tabs/Tabs.scss
DUPTYPE_WITHIN_SAME_TREE -5377 6 32 52 8996123 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Tabs/Tabs.77212317b1b7.scss
DUPTYPE_WITHIN_SAME_TREE -5377 6 32 52 8983924 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Tabs/Tabs.scss
DUPTYPE_WITHIN_SAME_TREE -5377 6 32 52 8977203 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Tabs/Tabs.scss
DUPTYPE_FIRST_OCCURRENCE 7739 4 33 52 8997612 5 /openedx/staticfiles/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7739 9 33 52 9257059 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7739 9 33 52 9252951 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7739 4 33 52 8986034 5 /openedx/staticfiles/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7739 8 33 52 8986968 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.js
DUPTYPE_WITHIN_SAME_TREE -7739 5 33 52 9257986 5 /openedx/staticfiles/studio/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7739 8 33 52 8995623 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/selector.cdff25b189c9.js
DUPTYPE_WITHIN_SAME_TREE -7739 5 33 52 9234257 5 /openedx/staticfiles/studio/js/bower/jquery/src/selector.js
DUPTYPE_FIRST_OCCURRENCE 3343 2 34 52 8998816 5 /openedx/staticfiles/teams/templates/date.1f2e2cd443bd.underscore
DUPTYPE_WITHIN_SAME_TREE -3343 2 34 52 8976097 5 /openedx/staticfiles/teams/templates/date.underscore
DUPTYPE_FIRST_OCCURRENCE 6317 3 34 52 9000853 5 /openedx/staticfiles/studio/templates/mock/mock-modal.e0cf2a1313f3.underscore
DUPTYPE_WITHIN_SAME_TREE -6317 3 34 52 8993645 5 /openedx/staticfiles/studio/templates/mock/mock-modal.underscore
DUPTYPE_FIRST_OCCURRENCE 5281 3 35 52 8998276 5 /openedx/staticfiles/paragon/src/CssJail/CssJail.61082a78db7f.scss
DUPTYPE_WITHIN_SAME_TREE -5281 3 35 52 8983470 5 /openedx/staticfiles/paragon/src/CssJail/CssJail.scss
